"abbr","title"
"2D Mater","2D Materials"
"3 Biotech","3 Biotech"
"3D Print Addit Manuf","3D Printing and Additive Manufacturing"
"3D Print Med","3D Printing in Medicine"
"A and A","Astronomy and Astrophysics"
"A F Z Allg Fischwirtschztg Zentorg Fischwirtsch","A F Z Allgemeine Fischwirtschaftszeitung Zentralorgan der Fischwirtschaft"
"AAPG Bull","AAPG Bulletin"
"AAPG Mem","AAPG Memoir"
"AAPS J","AAPS Journal"
"AATCC J Res","AATCC Journal of Research"
"ABB Rev","ABB Review"
"Abh Akad Wiss DDR","Abhandlungen der Akademie der Wissenschaften der DDR"
"Abh Akad Wiss DDR Abt Math Naturwiss Tech","Abhandlungen der Akademie der Wissenschaften der DDR Abteilung Mathematik Naturwissenschaften Technik"
"Abh Akad Wiss Lit Mainz MathNatwiss Kl","Abhandlungen Akademie der Wissenschaften und der Literatur Mainz MathematischNaturwissenschaftliche Klasse"
"Abh Math Semin Univ Hamburg","Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg"
"Abh Natwiss Ver Brem","Abhandlungen Naturwissenschaftliche Verein zu Bremen"
"Abh Senckb Naturforsch Ges","Abhandlungen der Senckenbergischen Naturforschenden Gesellschaft"
"ACA Trans","ACA Transactions"
"Acad Forensic Pathol","Academic Forensic Pathology"
"Acad Radiol","Academic Radiology"
"Acat Zool Taiwan","Acta Zoologica Taiwanica"
"Acc Chem Res","Accounts of Chemical Research"
"Access Microbiol","Access Microbiology"
"Accid Anal Prev","Accident Analysis and Prevention"
"Accredit Qual Assur","Accreditation and Quality Assurance"
"ACH Models Chem","ACH Models in Chemistry"
"Achiev Life Sci","Achievements in the Life Sciences"
"ACI Mater J","ACI Materials Journal"
"ACI Struct J","ACI Structural Journal"
"ACIAR Proc","ACIAR Proceedings"
"ACM Comput Surv","ACM Computing Surveys"
"ACM Digital Threats Res Pract","ACM Digital Threats Research and Practice"
"ACM J Comput Cult Heritage","ACM Journal on Computing and Cultural Heritage"
"ACM J Data Inf Qual","ACM Journal of Data and Information Quality"
"ACM J Emerging Technol Comput","ACM Journal on Emerging Technologies in Computing"
"ACM J Exp Algorithmics","ACM Journal of Experimental Algorithmics"
"ACM Trans Accessible Comput","ACM Transactions on Accessible Computing"
"ACM Trans Algorithms","ACM Transactions on Algorithms"
"ACM Trans Appl Percept","ACM Transactions on Applied Perception"
"ACM Trans Archit Code Optim","ACM Transactions on Architecture and Code Optimization"
"ACM Trans Asian Lang Inf Process","ACM Transactions on Asian Language Information Processing"
"ACM Trans Asian LowResour Lang Inf Process","ACM Transactions on Asian and LowResource Language Information Processing"
"ACM Trans Auton Adapt Syst","ACM Transactions on Autonomous and Adaptive Systems"
"ACM Trans Comput Educ","ACM Transactions on Computing Education"
"ACM Trans Comput Logic","ACM Transactions on Computational Logic"
"ACM Trans Comput Syst","ACM Transactions on Computer Systems"
"ACM Trans Comput Theory","ACM Transactions on Computation Theory"
"ACM Trans ComputHum Interact","ACM Transactions on ComputerHuman Interaction"
"ACM Trans Database Syst","ACM Transactions on Database Systems"
"ACM Trans Des Autom Electron Syst","ACM Transactions on Design Automation of Electronic Systems"
"ACM Trans Econ Comput","ACM Transactions on Economics and Computation"
"ACM Trans Embedded Comput Syst","ACM Transactions on Embedded Computing Systems"
"ACM Trans Graphics","ACM Transactions on Graphics"
"ACM Trans Inf Syst","ACM Transactions on Information Systems"
"ACM Trans Inf Syst Secur","ACM Transactions on Information and System Security"
"ACM Trans Intell Syst Technol","ACM Transactions on Intelligent Systems and Technology"
"ACM Trans Interact Intell Syst","ACM Transactions on Interactive Intelligent Systems"
"ACM Trans Internet Technol","ACM Transactions on Internet Technology"
"ACM Trans Knowl Discovery Data","ACM Transactions on Knowledge Discovery from Data"
"ACM Trans Manage Inf Syst","ACM Transactions on Management Information Systems"
"ACM Trans Math Software","ACM Transactions on Mathematical Software"
"ACM Trans Model Comput Simul","ACM Transactions on Modeling and Computer Simulation"
"ACM Trans Multimedia Comput Commun Appl","ACM Transactions on Multimedia Computing Communications and Applications"
"ACM Trans Parallel Comput","ACM Transactions on Parallel Computing"
"ACM Trans Program Lang Syst","ACM Transactions on Programming Languages and Systems"
"ACM Trans Reconfigurable Technol Syst","ACM Transactions on Reconfigurable Technology and Systems"
"ACM Trans Sens Netw","ACM Transactions on Sensor Networks"
"ACM Trans Software Eng Method","ACM Transactions on Software Engineering and Methodology"
"ACM Trans Speech Lang Process","ACM Transactions on Speech and Language Processing"
"ACM Trans Storage","ACM Transactions on Storage"
"ACM Trans Web","ACM Transactions on the Web"
"ACOPS Yearb","ACOPS Yearbook"
"Acoust Imaging","Acoustical Imaging"
"Acoust Phys","Acoustical Physics"
"Acoust Res Lett Online","Acoustics Research Letters Online"
"Acoust Sci Technol","Acoustical Science and Technology"
"Acoust Today","Acoustics Today"
"ACS Appl Bio Mater","ACS Applied Bio Materials"
"ACS Appl Electron Mater","ACS Applied Electronic Materials"
"ACS Appl Energy Mater","ACS Applied Energy Materials"
"ACS Appl Mater Interfaces","ACS Applied Materials and Interfaces"
"ACS Appl Nano Mater","ACS Applied Nano Materials"
"ACS Appl Polym Mater","ACS Applied Polymer Materials"
"ACS Biomater Sci Eng","ACS Biomaterials Science and Engineering"
"ACS Catal","ACS Catalysis"
"ACS Cent Sci","ACS Central Science"
"ACS Chem Biol","ACS Chemical Biology"
"ACS Chem Health Saf","ACS Chemical Health and Safety"
"ACS Chem Neurosci","ACS Chemical Neuroscience"
"ACS Comb Sci","ACS Combinatorial Science"
"ACS Earth Space Chem","ACS Earth and Space Chemistry"
"ACS Energy Lett","ACS Energy Letters"
"ACS ESandT Eng","ACS ESandT Engineering"
"ACS ESandT Water","ACS ESandT Water"
"ACS Infect Dis","ACS Infectious Diseases"
"ACS Macro Lett","ACS Macro Letters"
"ACS Mater Lett","ACS Materials Letters"
"ACS Med Chem Lett","ACS Medicinal Chemistry Letters"
