"author","year","title","container","publisher","doi","url","File","ID","journal_disam","container_match_journal","pub_match_journal","container_match_agency","author_match_agency","pub_match_agency","container_match_conf","pub_match_conf","container_match_agency_p","author_match_agency_p","pub_match_agency_p","training_input","class","classification"
"Cole, RC","1948","Soil Survey of the Newman Area California","US Department of Agriculture",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","7","US Department of Agriculture",FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Department of Agriculture","agency","regex"
"Cole, RC","1952","Soil Survey of the Los Banos Area California","US Department of Agriculture Ser",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","8","US Department of Agriculture Ser",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Department of Agriculture Ser","agency","regex"
"Davis, GH","1959","Groundwater Conditions and Storage Capacity in the San Joaquin Valley California","US Geological Survey Water Supply Paper 1469",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","11","US Geological Survey Water Supply Paper 1469",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey Water Supply Paper 1469","agency","regex"
"Davis, GH","1961","Geologic Control of Mineral Composition of Stream Waters of the Eastern Slope of the Southern Coast Ranges California","US Geological Survey WaterSupply Paper",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","12","US Geological Survey WaterSupply Paper",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey WaterSupply Paper","agency","regex"
"Harradine, FF","1956","Soil Survey Mendota Area California","US Department of Agriculture Soil Conservation Service in Cooperation with the University of California Agricultural Experiment Station",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","13","US Department of Agriculture Soil Conservation Service in Cooperation with the University of California Agricultural Experiment Station",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Department of Agriculture Soil Conservation Service in Cooperation with the University of California Agricultural Experiment Station","agency","regex"
"Hotchkiss, WR; Balding, GO","1971","Geology Hydrology and Water Quality of the TracyDos Palos Area San Joaquin Valley California","OpenFile Report US Department of the Interior Geological Survey Water Resources Division",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","14","OpenFile Report US Department of the Interior Geological Survey Water Resources Division",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"OpenFile Report US Department of the Interior Geological Survey Water Resources Division","agency","regex"
"Ireland, RL; Poland, JF; Riley, FS","1984","Land Subsidence in the San Joaquin Valley","California as of 1980 US Geological Survey Professional Paper 437i",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","15","California as of 1980 US Geological Survey Professional Paper 437i",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"California as of 1980 US Geological Survey Professional Paper 437i","agency","regex"
"Meade, RH","1968","Compaction of Sediments Underlying Areas of Land Subsidence in Central California","US Geological Survey Professional Paper",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","24","US Geological Survey Professional Paper",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey Professional Paper","agency","regex"
"Miller, RE; JH, Green; Davis, GH","1971","Geology of the Compacting Deposits in the Los BanosKettleman City Subsidence Area California","US Geological Survey Professional Paper 497e",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","25","US Geological Survey Professional Paper 497e",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey Professional Paper 497e","agency","regex"
"Page, RW","1986","Geology of the Fresh Groundwater Basin Central Valley California","US Geological Survey Professional Paper 1401c",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","28","US Geological Survey Professional Paper 1401c",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"US Geological Survey Professional Paper 1401c","agency","regex"
"Stromberg, LK","1962","Soil Survey of Madera Area California","U S Department of Agriculture Soil Conservation Service",NA,NA,NA,"/Users/lizawood/Box/citation_classifier/reference_extracts_gsp/delta_gsp.json","32","U S Department of Agriculture Soil Conservation Service",FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,NA,"U S Department of Agriculture Soil Conservation Service","agency","regex"
